date,target
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,3
2020-03-22,3
2020-03-23,3
2020-03-24,6
2020-03-25,7
2020-03-26,8
2020-03-27,11
2020-03-28,11
2020-03-29,13
2020-03-30,15
2020-03-31,24
2020-04-01,29
2020-04-02,31
2020-04-03,57
2020-04-04,66
2020-04-05,76
2020-04-06,81
2020-04-07,93
2020-04-08,97
2020-04-09,109
2020-04-10,122
2020-04-11,146
2020-04-12,177
2020-04-13,203
2020-04-14,217
2020-04-15,229
2020-04-16,249
2020-04-17,281
2020-04-18,314
2020-04-19,327
2020-04-20,350
2020-04-21,393
2020-04-22,417
2020-04-23,456
2020-04-24,486
2020-04-25,537
2020-04-26,593
2020-04-27,695
2020-04-28,778
2020-04-29,928
2020-04-30,984
2020-05-01,1083
2020-05-02,1256
2020-05-03,1438
2020-05-04,1653
2020-05-05,1838
2020-05-06,2017
2020-05-07,2179
2020-05-08,2324
2020-05-09,2461
2020-05-10,2554
2020-05-11,2811
2020-05-12,2991
2020-05-13,3131
2020-05-14,3310
2020-05-15,3400
2020-05-16,3487
2020-05-17,3660
2020-05-18,3758
2020-05-19,3901
2020-05-20,4098
2020-05-21,4280
2020-05-22,4377
2020-05-23,4638
2020-05-24,4703
2020-05-25,4774
2020-05-26,4881
2020-05-27,4978
2020-05-28,5195
2020-05-29,5271
2020-05-30,5401
2020-05-31,5459
2020-06-01,5893
2020-06-02,6410
2020-06-03,6866
2020-06-04,7195
2020-06-05,7268
2020-06-06,7315
2020-06-07,7364
2020-06-08,7408
2020-06-09,7493
2020-06-10,7565
2020-06-11,7583
2020-06-12,7618
2020-06-13,7696
2020-06-14,7765
2020-06-15,7828
2020-06-16,7937
2020-06-17,7993
2020-06-18,8041
2020-06-19,8117
2020-06-20,8223
2020-06-21,8284
2020-06-22,8366
2020-06-23,8407
2020-06-24,8468
2020-06-25,8500
2020-06-26,8656
2020-06-27,8723
2020-06-28,8740
2020-06-29,8833
2020-06-30,8920
2020-07-01,9026
2020-07-02,9090
2020-07-03,9160
2020-07-04,9329
2020-07-05,9725
2020-07-06,10173
2020-07-07,10639
2020-07-08,11316
2020-07-09,11447
2020-07-10,11827
2020-07-11,12065
2020-07-12,12283
2020-07-13,12934
2020-07-14,13442
2020-07-15,13821
2020-07-16,13965
2020-07-17,14360
2020-07-18,14620
2020-07-19,14921
2020-07-20,15132
2020-07-21,15389
2020-07-22,15636
